Source,Target,Number of samples,Alpha,ROI,Method
TH,AM,300,10,VC,ROI
TH,AM,600,180,VC,ROI
TH,AM,900,200,VC,ROI
TH,AM,1200,260,VC,ROI
TH,AM,2400,220,VC,ROI
TH,AM,3600,200,VC,ROI
TH,AM,4800,100,VC,ROI
TH,AM,6000,100,VC,ROI
AM,TH,300,82,VC,ROI
AM,TH,600,460,VC,ROI
AM,TH,900,620,VC,ROI
AM,TH,1200,820,VC,ROI
AM,TH,2400,620,VC,ROI
AM,TH,3600,420,VC,ROI
AM,TH,4800,340,VC,ROI
AM,TH,6000,280,VC,ROI
ES,TH,300,140,VC,ROI
ES,TH,600,280,VC,ROI
ES,TH,900,380,VC,ROI
ES,TH,1200,460,VC,ROI
ES,TH,2400,340,VC,ROI
ES,TH,3600,320,VC,ROI
ES,TH,4800,220,VC,ROI
ES,TH,6000,140,VC,ROI
ES,AM,300,120,VC,ROI
ES,AM,600,260,VC,ROI
ES,AM,900,420,VC,ROI
ES,AM,1200,440,VC,ROI
ES,AM,2400,220,VC,ROI
ES,AM,3600,180,VC,ROI
ES,AM,4800,100,VC,ROI
ES,AM,6000,86,VC,ROI
KS,TH,300,1,VC,ROI
KS,TH,600,380,VC,ROI
KS,TH,900,420,VC,ROI
KS,TH,1200,620,VC,ROI
KS,TH,2400,460,VC,ROI
KS,TH,3600,340,VC,ROI
KS,TH,4800,200,VC,ROI
KS,TH,6000,200,VC,ROI
KS,AM,300,200,VC,ROI
KS,AM,600,280,VC,ROI
KS,AM,900,320,VC,ROI
KS,AM,1200,480,VC,ROI
KS,AM,2400,360,VC,ROI
KS,AM,3600,320,VC,ROI
KS,AM,4800,220,VC,ROI
KS,AM,6000,220,VC,ROI
JP,TH,300,82,VC,ROI
JP,TH,600,220,VC,ROI
JP,TH,900,380,VC,ROI
JP,TH,1200,360,VC,ROI
JP,TH,2400,240,VC,ROI
JP,TH,3600,200,VC,ROI
JP,TH,4800,100,VC,ROI
JP,TH,6000,22,VC,ROI
JP,AM,300,2,VC,ROI
JP,AM,600,220,VC,ROI
JP,AM,900,320,VC,ROI
JP,AM,1200,360,VC,ROI
JP,AM,2400,220,VC,ROI
JP,AM,3600,200,VC,ROI
JP,AM,4800,62,VC,ROI
JP,AM,6000,6,VC,ROI
TH,ES,300,14,VC,ROI
TH,ES,600,100,VC,ROI
TH,ES,900,160,VC,ROI
TH,ES,1200,220,VC,ROI
TH,ES,2400,180,VC,ROI
TH,ES,3600,160,VC,ROI
TH,ES,4800,84,VC,ROI
TH,ES,6000,66,VC,ROI
TH,KS,300,1,VC,ROI
TH,KS,600,100,VC,ROI
TH,KS,900,200,VC,ROI
TH,KS,1200,240,VC,ROI
TH,KS,2400,240,VC,ROI
TH,KS,3600,180,VC,ROI
TH,KS,4800,120,VC,ROI
TH,KS,6000,100,VC,ROI
TH,JP,300,8,VC,ROI
TH,JP,600,72,VC,ROI
TH,JP,900,220,VC,ROI
TH,JP,1200,220,VC,ROI
TH,JP,2400,220,VC,ROI
TH,JP,3600,180,VC,ROI
TH,JP,4800,180,VC,ROI
TH,JP,6000,120,VC,ROI
AM,ES,300,120,VC,ROI
AM,ES,600,260,VC,ROI
AM,ES,900,380,VC,ROI
AM,ES,1200,400,VC,ROI
AM,ES,2400,420,VC,ROI
AM,ES,3600,320,VC,ROI
AM,ES,4800,200,VC,ROI
AM,ES,6000,160,VC,ROI
AM,KS,300,1,VC,ROI
AM,KS,600,380,VC,ROI
AM,KS,900,400,VC,ROI
AM,KS,1200,620,VC,ROI
AM,KS,2400,420,VC,ROI
AM,KS,3600,400,VC,ROI
AM,KS,4800,200,VC,ROI
AM,KS,6000,220,VC,ROI
AM,JP,300,38,VC,ROI
AM,JP,600,240,VC,ROI
AM,JP,900,440,VC,ROI
AM,JP,1200,540,VC,ROI
AM,JP,2400,540,VC,ROI
AM,JP,3600,380,VC,ROI
AM,JP,4800,200,VC,ROI
AM,JP,6000,120,VC,ROI
ES,KS,300,40,VC,ROI
ES,KS,600,200,VC,ROI
ES,KS,900,320,VC,ROI
ES,KS,1200,400,VC,ROI
ES,KS,2400,220,VC,ROI
ES,KS,3600,220,VC,ROI
ES,KS,4800,140,VC,ROI
ES,KS,6000,100,VC,ROI
ES,JP,300,1,VC,ROI
ES,JP,600,180,VC,ROI
ES,JP,900,220,VC,ROI
ES,JP,1200,320,VC,ROI
ES,JP,2400,320,VC,ROI
ES,JP,3600,240,VC,ROI
ES,JP,4800,160,VC,ROI
ES,JP,6000,120,VC,ROI
KS,ES,300,100,VC,ROI
KS,ES,600,240,VC,ROI
KS,ES,900,240,VC,ROI
KS,ES,1200,400,VC,ROI
KS,ES,2400,280,VC,ROI
KS,ES,3600,200,VC,ROI
KS,ES,4800,200,VC,ROI
KS,ES,6000,60,VC,ROI
KS,JP,300,1,VC,ROI
KS,JP,600,200,VC,ROI
KS,JP,900,360,VC,ROI
KS,JP,1200,400,VC,ROI
KS,JP,2400,400,VC,ROI
KS,JP,3600,180,VC,ROI
KS,JP,4800,140,VC,ROI
KS,JP,6000,120,VC,ROI
JP,ES,300,1,VC,ROI
JP,ES,600,82,VC,ROI
JP,ES,900,200,VC,ROI
JP,ES,1200,240,VC,ROI
JP,ES,2400,220,VC,ROI
JP,ES,3600,160,VC,ROI
JP,ES,4800,78,VC,ROI
JP,ES,6000,22,VC,ROI
JP,KS,300,20,VC,ROI
JP,KS,600,100,VC,ROI
JP,KS,900,220,VC,ROI
JP,KS,1200,240,VC,ROI
JP,KS,2400,220,VC,ROI
JP,KS,3600,140,VC,ROI
JP,KS,4800,100,VC,ROI
JP,KS,6000,1,VC,ROI
